time_s,pp_cbf_off_minimum_distance_m,pp_cbf_on_minimum_distance_m,project_evaluation_distance_m,pp_cbf_off_cumulative_exposure_s,pp_cbf_on_cumulative_exposure_s
37.34,1.2806248462943943,1.1419827032646361,0.6,2.040000000000001,0.0
37.35,1.2806248463122691,1.1421204993441314,0.6,2.040000000000001,0.0
37.36,1.280624846329826,1.1422581603257742,0.6,2.040000000000001,0.0
37.37,1.2806248463470686,1.1423957055647609,0.6,2.040000000000001,0.0
37.38,1.2806248463640015,1.142533102699224,0.6,2.040000000000001,0.0
37.39,1.2806248463806291,1.1426703630043686,0.6,2.040000000000001,0.0
37.4,1.2806248463969547,1.1428075061366718,0.6,2.040000000000001,0.0
37.410000000000004,1.280624846412984,1.142944513624755,0.6,2.040000000000001,0.0
37.42,1.2806248464287202,1.1430813713899701,0.6,2.040000000000001,0.0
37.43,1.2806248464441687,1.1432181132822308,0.6,2.040000000000001,0.0
37.44,1.2806248464593344,1.1433547079615372,0.6,2.040000000000001,0.0
37.45,1.2806248464742207,1.1434911824894574,0.6,2.040000000000001,0.0
37.46,1.280624846488833,1.1436275071587878,0.6,2.040000000000001,0.0
37.47,1.280624846503176,1.1437637160837357,0.6,2.040000000000001,0.0
37.480000000000004,1.280624846517254,1.1438997773625739,0.6,2.040000000000001,0.0
37.49,1.2806248465310723,1.1440357195612811,0.6,2.040000000000001,0.0
37.5,1.2806248465446357,1.1441715287172705,0.6,2.040000000000001,0.0
37.51,1.2806248465579488,1.1443071901694735,0.6,2.040000000000001,0.0
37.52,1.2806248465710168,1.1444427176570666,0.6,2.040000000000001,0.0
37.53,1.2806248465838443,1.1445781130341033,0.6,2.040000000000001,0.0
37.54,1.280624846596436,1.144713378420361,0.6,2.040000000000001,0.0
37.550000000000004,1.2806248466087973,1.1448485108440258,0.6,2.040000000000001,0.0
37.56,1.2806248466209327,1.1449835097697285,0.6,2.040000000000001,0.0
37.57,1.280624846632847,1.145118377248908,0.6,2.040000000000001,0.0
37.58,1.2806248466445451,1.1452531122310345,0.6,2.040000000000001,0.0
37.59,1.280624846656032,1.1453877148336447,0.6,2.040000000000001,0.0
37.6,1.2806248466673122,1.1455222040193571,0.6,2.040000000000001,0.0
37.61,1.280624846678391,1.1456565480279437,0.6,2.040000000000001,0.0
37.62,1.2806248466892727,1.1457907579150757,0.6,2.040000000000001,0.0
37.63,1.2806248466999621,1.1459248532171156,0.6,2.040000000000001,0.0
37.64,1.2806248467104637,1.1460588155787081,0.6,2.040000000000001,0.0
37.65,1.2806248467207826,1.1461926313894892,0.6,2.040000000000001,0.0
37.660000000000004,1.280624846730923,1.146326333552572,0.6,2.040000000000001,0.0
37.67,1.2806248467408892,1.1464598915875488,0.6,2.040000000000001,0.0
37.68,1.280624846750686,1.146593331883847,0.6,2.040000000000001,0.0
37.69,1.2806248467603176,1.1467266253619903,0.6,2.040000000000001,0.0
37.7,1.2806248467697887,1.1468598054549135,0.6,2.040000000000001,0.0
37.71,1.2806248467791033,1.1469928408838983,0.6,2.040000000000001,0.0
37.72,1.2806248467882657,1.1471257597458406,0.6,2.040000000000001,0.0
37.730000000000004,1.28062484679728,1.14725854824163,0.6,2.040000000000001,0.0
37.74,1.28062484680615,1.147391191959722,0.6,2.040000000000001,0.0
37.75,1.2806248468148802,1.1475237044922741,0.6,2.040000000000001,0.0
37.76,1.280624846823474,1.1476560915348735,0.6,2.040000000000001,0.0
37.77,1.2806248468319357,1.1477883475741886,0.6,2.040000000000001,0.0
37.78,1.2806248468402686,1.1479204721534078,0.6,2.040000000000001,0.0
37.79,1.2806248468484767,1.148052468387895,0.6,2.040000000000001,0.0
37.800000000000004,1.2806248468565633,1.148184334482154,0.6,2.040000000000001,0.0
37.81,1.2806248468645323,1.1483160706999052,0.6,2.040000000000001,0.0
37.82,1.2806248468723866,1.1484476953102007,0.6,2.040000000000001,0.0
37.83,1.28062484688013,1.1485791767759121,0.6,2.040000000000001,0.0
37.84,1.2806248468877652,1.1487105283329277,0.6,2.040000000000001,0.0
37.85,1.2806248468952954,1.1488417666939796,0.6,2.040000000000001,0.0
37.86,1.2806248469027237,1.1489728745205405,0.6,2.040000000000001,0.0
37.87,1.2806248469100536,1.1491038424833577,0.6,2.040000000000001,0.0
37.88,1.2806248469172874,1.149234693556047,0.6,2.040000000000001,0.0
37.89,1.2806248469244175,1.1493654181964088,0.6,2.040000000000001,0.0
37.9,1.2806248469314674,1.1494959997035417,0.6,2.040000000000001,0.0
37.910000000000004,1.2806248469384296,1.1496264687476745,0.6,2.040000000000001,0.0
37.92,1.280624846945306,1.1497568133282434,0.6,2.040000000000001,0.0
37.93,1.2806248469520993,1.1498870127055787,0.6,2.040000000000001,0.0
37.94,1.2806248469588115,1.1500170985383649,0.6,2.040000000000001,0.0
37.95,1.2806248469654449,1.1501470524210557,0.6,2.040000000000001,0.0
37.96,1.2806248469720019,1.1502768830755912,0.6,2.040000000000001,0.0
37.97,1.280624846978484,1.150406568806014,0.6,2.040000000000001,0.0
37.980000000000004,1.2806248469848935,1.1505361310049258,0.6,2.040000000000001,0.0
37.99,1.2806248469912325,1.150665563591799,0.6,2.040000000000001,0.0
38.0,1.2806248469975023,1.150794871808567,0.6,2.040000000000001,0.0
38.01,1.2806248470037047,1.1509240512959131,0.6,2.040000000000001,0.0
38.02,1.2806248470098418,1.151053120913139,0.6,2.040000000000001,0.0
38.03,1.2806248470159145,1.1511820531210009,0.6,2.040000000000001,0.0
38.04,1.2806248470219244,1.1513108545462896,0.6,2.040000000000001,0.0
38.050000000000004,1.280624847027873,1.1514395446036638,0.6,2.040000000000001,0.0
38.06,1.2806248470337611,1.151568096813263,0.6,2.040000000000001,0.0
38.07,1.2806248470395902,1.151696534351385,0.6,2.040000000000001,0.0
38.08,1.2806248470453616,1.1518248302919216,0.6,2.040000000000001,0.0
38.09,1.2806248470510764,1.1519530157365083,0.6,2.040000000000001,0.0
38.1,1.2806248470567354,1.1520810743953063,0.6,2.040000000000001,0.0
38.11,1.2806248470623394,1.1522089933901332,0.6,2.040000000000001,0.0
38.12,1.2806248470678894,1.1523367848648334,0.6,2.040000000000001,0.0
38.13,1.2806248470733863,1.1524644552157888,0.6,2.040000000000001,0.0
38.14,1.2806248470788308,1.1525919990109803,0.6,2.040000000000001,0.0
38.15,1.2806248470842236,1.1527194154270208,0.6,2.040000000000001,0.0
38.160000000000004,1.2806248470895651,1.1528467078491549,0.6,2.040000000000001,0.0
38.17,1.2806248470948562,1.1529738744183538,0.6,2.040000000000001,0.0
38.18,1.2806248471000974,1.1531009152984903,0.6,2.040000000000001,0.0
38.19,1.280624847105289,1.1532278485195582,0.6,2.040000000000001,0.0
38.2,1.2806248471104313,1.1533546434413269,0.6,2.040000000000001,0.0
